message_length,rsa_key_length,sample_size,execution_time,speed,current_memory_usage,peak_memory_usage
4,32,100,Failed,Failed,Failed,Failed
4,64,5,Failed,Failed,Failed,Failed
4,64,10,Failed,Failed,Failed,Failed
4,64,25,Failed,Failed,Failed,Failed
4,64,50,Failed,Failed,Failed,Failed
4,64,100,Failed,Failed,Failed,Failed
4,128,5,Failed,Failed,Failed,Failed
4,128,10,Failed,Failed,Failed,Failed
4,128,25,Failed,Failed,Failed,Failed
4,128,50,Failed,Failed,Failed,Failed
4,128,100,Failed,Failed,Failed,Failed
4,256,5,Failed,Failed,Failed,Failed
4,256,10,Failed,Failed,Failed,Failed
4,256,25,Failed,Failed,Failed,Failed
4,256,50,2.312285900115967,1.729889889394469,1.278424,2.724668
4,256,100,2.129626512527466,1.8782636187472859,0.551512,1.59407
4,512,5,2.276167631149292,1.7573398133160796,0.58385,1.66576
4,512,10,2.2258493900299072,1.7970667817494403,0.538297,1.601205
4,512,25,2.3370232582092285,1.711579029412419,0.462319,1.532226
4,512,50,2.186035394668579,1.8297965393220144,0.457354,1.614224
4,512,100,2.1896700859069824,1.8267592116933733,0.487716,1.563341
4,1024,5,2.2953317165374756,1.742667506914438,0.559078,1.595957
4,1024,10,2.2981467247009277,1.7405329072366105,0.677555,1.710832
4,1024,25,3.1749484539031982,1.2598629735492257,0.455403,1.598623
4,1024,50,2.454022169113159,1.6299771250418371,0.509863,1.62024
4,1024,100,2.709656238555908,1.476202015253334,0.623677,1.636474
4,2048,5,10.24266767501831,0.39052326277810717,0.500927,1.612504
4,2048,10,3.4470951557159424,1.1603973256633882,0.512718,1.585009
4,2048,25,4.994129419326782,0.8009403970430561,0.537707,1.614555
4,2048,50,7.778930187225342,0.5142095254394815,0.494062,1.556857
4,2048,100,13.34964632987976,0.299633406096087,0.506715,1.613487
4,4096,5,52.0679292678833,0.07682272093865065,0.474177,1.631049
4,4096,10,30.10629153251648,0.1328625943743279,0.541439,1.610401
4,4096,25,22.568706512451172,0.1772365641687616,0.473869,1.551011
4,4096,50,46.2245454788208,0.08653411209489822,0.508094,1.560804
4,4096,100,24.233003854751587,0.16506414243877088,0.506521,1.558811
